ID,year,place,sowing,varietyID,variety,block,plot,ind,PlantHeight_20190725_cm,PlantHeight_20190727_cm,PlantHeight_20190729_cm,PlantHeight_20190801_cm,PlantHeight_20190805_cm,PlantHeight_20190807_cm,PlantHeight_20190809_cm,PlantHeight_20190811_cm,PlantHeight_20190813_cm,PlantHeight_20190816_cm,PlantHeight_20190818_cm,PlantHeight_20190820_cm,PlantHeight_20190822_cm,PlantHeight_20190824_cm,PlantHeight_20190826_cm,PlantHeight_20190829_cm,PlantHeight_20190831_cm,PlantHeight_20190903_cm,PlantHeight_20190905_cm
,2019,Tottori,Jul,125,GmWMC125,W1,52,1,8,9,12,14,20,20,18,22,21,24,28,34,38,41,44,44,52,58,60
,2019,Tottori,Jul,125,GmWMC125,W1,52,2,10,10,12,14,17,15,22,22,23,26,30,35,37,37,43,51,60,58,62
,2019,Tottori,Jul,125,GmWMC125,W1,52,3,9,12,14,18,18,14,20,21,28,28,31,34,39,41,46,50,59,65,61
,2019,Tottori,Jul,125,GmWMC125,W1,52,4,10,11,13,13,17,20,19,21,24,24,34,32,35,41,42,46,55,64,61
,2019,Tottori,Jul,160,GmWMC160,W1,75,1,7,7,8,10,14,11,13,16,16,18,20,21,23,24,32,28,32,35,38
,2019,Tottori,Jul,160,GmWMC160,W1,75,2,7,8,9,10,13,13,15,16,16,19,17,18,19,23,25,31,33,36,36
,2019,Tottori,Jul,160,GmWMC160,W1,75,3,7,8,7,11,12,12,14,15,13,17,20,22,25,27,26,32,35,47,41
,2019,Tottori,Jul,160,GmWMC160,W1,75,4,7,8,8,11,12,11,17,13,13,16,18,21,21,22,25,26,34,39,36
,2019,Tottori,Jul,55,GmJMC055,W1,76,1,13,13,16,18,21,20,21,27,26,27,27,30,33,40,42,33,38,43,44
,2019,Tottori,Jul,55,GmJMC055,W1,76,2,12,13,16,16,20,21,24,24,28,28,29,28,33,40,41,34,36,35,42
,2019,Tottori,Jul,55,GmJMC055,W1,76,3,11,12,15,15,19,19,22,24,22,29,27,30,29,34,34,35,35,38,39
,2019,Tottori,Jul,55,GmJMC055,W1,76,4,12,15,20,18,20,21,24,26,27,27,26,28,35,38,37,32,34,40,43
,2019,Tottori,Jul,154,GmWMC154,W1,99,1,7,8,8,12,14,13,17,18,20,19,26,25,30,31,33,38,49,49,53
,2019,Tottori,Jul,154,GmWMC154,W1,99,2,9,8,11,11,14,12,19,18,17,22,22,27,27,33,35,37,44,51,56
,2019,Tottori,Jul,154,GmWMC154,W1,99,3,8,8,8,11,13,13,16,20,18,22,24,31,31,32,34,37,44,53,53
,2019,Tottori,Jul,154,GmWMC154,W1,99,4,10,7,9,11,15,12,15,17,18,22,25,28,27,31,33,36,43,50,46
,2019,Tottori,Jul,191,GmWMC191,W1,101,1,10,10,11,13,15,17,18,22,23,25,31,31,39,44,47,46,54,59,63
,2019,Tottori,Jul,191,GmWMC191,W1,101,2,9,10,10,12,14,14,18,18,22,27,30,35,39,45,55,55,60,65,75
,2019,Tottori,Jul,191,GmWMC191,W1,101,3,7,8,9,12,15,15,17,23,21,28,33,38,41,46,50,56,62,68,75
,2019,Tottori,Jul,191,GmWMC191,W1,101,4,9,8,10,12,16,15,17,19,18,22,26,30,35,41,43,47,55,61,69
,2019,Tottori,Jul,12,GmWMC012,W1,125,1,7,7,8,12,13,12,16,17,18,19,23,24,24,24,29,33,41,37,35
,2019,Tottori,Jul,12,GmWMC012,W1,125,2,10,12,16,15,20,24,23,25,28,31,33,37,41,47,44,40,48,46,44
,2019,Tottori,Jul,12,GmWMC012,W1,125,3,9,10,10,13,15,16,18,18,19,24,26,22,25,31,32,30,52,32,34
,2019,Tottori,Jul,12,GmWMC012,W1,125,4,9,11,11,12,16,13,16,17,18,19,24,25,26,27,27,28,35,36,30
,2019,Tottori,Jul,40,GmJMC040,W1,127,1,5,7,6,7,10,11,15,13,13,17,21,20,23,30,30,26,36,35,35
,2019,Tottori,Jul,40,GmJMC040,W1,127,2,9,11,11,12,17,14,21,22,22,22,24,30,31,33,34,36,40,44,42
,2019,Tottori,Jul,40,GmJMC040,W1,127,3,13,11,13,16,18,15,19,23,25,23,27,32,31,33,35,34,39,42,42
,2019,Tottori,Jul,40,GmJMC040,W1,127,4,11,12,13,16,18,17,20,21,24,26,28,32,32,37,36,30,40,51,41
,2019,Tottori,Jul,71,GmWMC071,W1,150,1,12,15,14,15,19,19,20,20,22,25,29,31,31,39,39,39,44,40,43
,2019,Tottori,Jul,71,GmWMC071,W1,150,2,11,11,13,13,19,18,21,24,21,27,27,30,30,34,38,40,46,51,47
,2019,Tottori,Jul,71,GmWMC071,W1,150,3,11,12,13,16,18,16,22,24,24,28,30,34,41,44,46,43,47,47,51
,2019,Tottori,Jul,71,GmWMC071,W1,150,4,9,11,12,14,17,18,22,23,22,26,27,31,32,41,40,39,48,47,49
,2019,Tottori,Jul,178,GmWMC178,W2,52,1,15,17,16,22,23,24,26,29,25,30,33,35,37,39,40,49,53,56,61
,2019,Tottori,Jul,178,GmWMC178,W2,52,2,10,11,12,17,17,18,24,22,26,26,28,29,32,40,38,44,51,55,62
,2019,Tottori,Jul,178,GmWMC178,W2,52,3,11,13,13,19,20,19,25,22,28,28,30,33,36,38,46,49,60,60,68
,2019,Tottori,Jul,178,GmWMC178,W2,52,4,14,14,15,18,21,20,23,24,26,28,32,33,39,44,45,48,52,55,57
,2019,Tottori,Jul,221,C0394,W2,75,1,8,10,11,13,14,19,21,19,20,22,25,26,25,30,39,32,38,36,36
,2019,Tottori,Jul,221,C0394,W2,75,2,8,8,8,12,14,17,19,18,17,22,22,21,25,25,26,31,39,42,40
,2019,Tottori,Jul,221,C0394,W2,75,3,8,9,10,13,16,17,20,18,22,24,25,27,28,30,30,34,40,42,43
,2019,Tottori,Jul,221,C0394,W2,75,4,7,9,8,11,12,12,16,18,15,18,22,22,25,30,28,34,37,45,36
,2019,Tottori,Jul,69,GmJMC069,W2,76,1,9,11,13,15,17,17,20,23,25,28,29,36,41,42,40,42,52,56,58
,2019,Tottori,Jul,69,GmJMC069,W2,76,2,9,11,11,14,16,17,18,24,24,26,31,33,35,50,41,46,59,56,57
,2019,Tottori,Jul,69,GmJMC069,W2,76,3,13,13,14,16,20,24,25,32,28,35,33,37,45,46,50,51,56,57,61
,2019,Tottori,Jul,69,GmJMC069,W2,76,4,12,14,15,16,18,23,24,23,25,27,31,34,37,46,44,46,53,55,55
,2019,Tottori,Jul,145,GmJMC145,W2,100,1,10,10,14,14,18,22,26,27,25,29,33,37,39,41,45,52,52,50,58
,2019,Tottori,Jul,145,GmJMC145,W2,100,2,10,9,11,14,17,18,21,23,21,27,27,33,35,42,44,49,53,55,55
,2019,Tottori,Jul,145,GmJMC145,W2,100,3,10,10,12,13,18,18,21,21,25,30,34,41,42,47,46,53,61,56,73
,2019,Tottori,Jul,145,GmJMC145,W2,100,4,10,10,13,15,20,20,25,24,27,34,36,43,50,50,52,57,56,57,62
,2019,Tottori,Jul,135,GmWMC135,W2,101,1,9,13,13,19,24,21,27,29,36,33,35,40,44,45,47,54,62,67,67
,2019,Tottori,Jul,135,GmWMC135,W2,101,2,11,14,15,23,26,22,27,31,33,33,39,36,40,44,46,54,60,65,65
,2019,Tottori,Jul,135,GmWMC135,W2,101,3,11,13,14,17,20,21,25,25,29,30,35,34,40,42,45,52,55,68,63
,2019,Tottori,Jul,135,GmWMC135,W2,101,4,11,12,12,16,19,18,23,26,29,27,30,28,30,36,31,37,42,45,47
,2019,Tottori,Jul,43,GmJMC043,W2,125,1,9,11,12,14,15,19,21,21,26,28,30,32,39,38,38,41,41,52,44
,2019,Tottori,Jul,43,GmJMC043,W2,125,2,10,10,12,13,17,17,20,26,22,28,28,30,35,37,41,44,44,46,41
,2019,Tottori,Jul,43,GmJMC043,W2,125,3,9,11,12,15,19,18,22,21,28,30,32,32,38,41,40,42,44,51,42
,2019,Tottori,Jul,43,GmJMC043,W2,125,4,10,13,13,16,19,18,21,22,22,31,31,33,34,38,33,41,39,50,38
,2019,Tottori,Jul,121,GmJMC121,W2,126,1,10,10,11,13,18,18,23,23,27,29,34,32,36,38,42,50,52,57,57
,2019,Tottori,Jul,121,GmJMC121,W2,126,2,10,10,12,14,16,16,22,20,27,28,26,32,35,39,44,45,51,48,61
,2019,Tottori,Jul,121,GmJMC121,W2,126,3,11,9,13,15,19,17,28,23,31,29,32,33,39,42,48,54,60,56,61
,2019,Tottori,Jul,121,GmJMC121,W2,126,4,9,7,10,13,15,15,23,18,22,25,30,30,38,37,36,43,46,45,49
,2019,Tottori,Jul,141,GmWMC141,W2,148,1,NA,8,NA,NA,NA,17,17,18,23,24,25,26,30,34,NA,39,43,46,48
,2019,Tottori,Jul,141,GmWMC141,W2,148,2,NA,10,NA,NA,NA,19,22,27,25,26,28,30,34,39,NA,45,49,57,57
,2019,Tottori,Jul,141,GmWMC141,W2,148,3,NA,11,NA,NA,NA,19,23,23,24,27,31,33,35,38,NA,45,47,50,58
,2019,Tottori,Jul,141,GmWMC141,W2,148,4,NA,10,NA,NA,NA,16,20,20,22,26,29,29,34,35,NA,41,46,50,53
,2019,Tottori,Jul,140,GmWMC140,W3,51,1,9,9,9,11,12,14,15,15,16,17,19,19,21,24,24,26,33,40,37
,2019,Tottori,Jul,140,GmWMC140,W3,51,2,9,8,10,12,14,17,19,17,17,19,22,22,23,27,34,32,40,44,45
,2019,Tottori,Jul,140,GmWMC140,W3,51,3,8,9,10,13,14,16,20,21,20,21,25,25,26,28,30,34,46,49,46
,2019,Tottori,Jul,140,GmWMC140,W3,51,4,10,6,7,10,14,12,15,15,16,18,20,18,22,20,22,22,31,33,31
,2019,Tottori,Jul,143,GmWMC143,W3,75,1,9,9,11,14,16,17,17,22,21,23,32,30,33,35,35,42,47,49,54
,2019,Tottori,Jul,143,GmWMC143,W3,75,2,9,11,11,14,14,17,19,19,24,28,26,27,32,36,36,45,47,48,59
,2019,Tottori,Jul,143,GmWMC143,W3,75,3,8,8,9,14,13,18,19,19,18,22,27,26,29,33,36,39,44,48,53
,2019,Tottori,Jul,143,GmWMC143,W3,75,4,9,10,11,15,14,21,19,23,22,21,27,25,29,32,32,37,43,43,53
,2019,Tottori,Jul,161,GmJMC161,W3,77,1,NA,12,13,20,21,NA,28,29,32,32,36,37,44,46,52,58,65,67,69
,2019,Tottori,Jul,161,GmJMC161,W3,77,2,NA,11,14,18,21,NA,27,33,32,32,38,38,43,49,52,58,64,64,67
,2019,Tottori,Jul,161,GmJMC161,W3,77,3,NA,9,11,15,19,NA,27,32,30,28,37,40,41,43,48,55,65,69,71
,2019,Tottori,Jul,161,GmJMC161,W3,77,4,NA,12,13,18,19,NA,27,26,28,29,34,33,39,40,49,50,55,58,60
,2019,Tottori,Jul,158,GmJMC158,W3,99,1,6,6,8,12,14,14,16,17,21,18,21,24,27,30,31,32,51,43,45
,2019,Tottori,Jul,158,GmJMC158,W3,99,2,7,7,9,13,13,16,17,17,19,20,20,21,22,26,34,35,55,43,49
,2019,Tottori,Jul,158,GmJMC158,W3,99,3,7,8,9,13,13,16,19,20,21,23,23,24,26,29,36,37,55,51,54
,2019,Tottori,Jul,158,GmJMC158,W3,99,4,8,8,11,12,14,16,17,18,20,21,23,24,25,30,36,38,56,52,56
,2019,Tottori,Jul,1077,C1329,W3,102,1,9,10,10,13,15,17,22,19,26,25,28,29,35,33,35,37,46,49,50
,2019,Tottori,Jul,1077,C1329,W3,102,2,10,8,10,15,16,18,18,20,21,23,25,27,28,31,33,40,43,48,49
,2019,Tottori,Jul,1077,C1329,W3,102,3,7,7,8,10,14,15,20,18,18,23,22,23,27,29,32,32,39,39,40
,2019,Tottori,Jul,1077,C1329,W3,102,4,8,6,10,12,14,15,18,18,21,24,24,25,28,30,29,35,37,38,41
,2019,Tottori,Jul,170,GmWMC170,W3,124,1,NA,6,8,10,10,13,13,14,13,17,19,18,24,23,24,27,29,32,38
,2019,Tottori,Jul,170,GmWMC170,W3,124,2,NA,6,6,8,11,11,12,12,10,17,15,18,21,25,27,28,33,38,42
,2019,Tottori,Jul,170,GmWMC170,W3,124,3,NA,7,7,10,11,10,12,13,11,14,16,17,23,24,23,26,30,37,38
,2019,Tottori,Jul,170,GmWMC170,W3,124,4,NA,7,7,9,11,12,11,10,13,15,15,19,24,23,23,26,29,30,35
,2019,Tottori,Jul,180,GmJMC180,W3,126,1,9,11,10,14,17,19,19,22,27,28,36,32,36,36,44,48,52,60,65
,2019,Tottori,Jul,180,GmJMC180,W3,126,2,6,4,5,10,10,13,14,15,16,19,24,24,28,31,34,46,49,50,56
,2019,Tottori,Jul,180,GmJMC180,W3,126,3,7,10,9,12,13,15,18,21,25,23,29,29,35,39,39,46,51,59,63
,2019,Tottori,Jul,180,GmJMC180,W3,126,4,8,9,9,15,18,16,19,22,24,26,30,32,36,40,42,58,54,62,65
,2019,Tottori,Jul,152,GmWMC152,W3,150,1,15,12,16,19,21,22,22,23,28,28,33,29,31,38,34,38,44,46,51
,2019,Tottori,Jul,152,GmWMC152,W3,150,2,9,11,11,14,18,18,18,20,22,22,24,22,27,31,38,38,48,53,55
,2019,Tottori,Jul,152,GmWMC152,W3,150,3,11,12,14,21,17,21,26,28,26,26,30,30,35,36,41,48,52,52,63
,2019,Tottori,Jul,152,GmWMC152,W3,150,4,9,12,10,14,21,17,23,20,24,22,29,27,33,36,42,47,51,52,60
,2019,Tottori,Jul,129,GmWMC129,W4,52,1,10,11,13,15,17,16,19,23,22,24,24,29,30,32,35,37,43,44,44
,2019,Tottori,Jul,129,GmWMC129,W4,52,2,11,11,13,15,16,19,19,20,22,24,23,22,26,27,27,29,32,32,36
,2019,Tottori,Jul,129,GmWMC129,W4,52,3,9,9,12,11,17,15,17,18,19,20,22,22,24,24,26,27,33,34,34
,2019,Tottori,Jul,129,GmWMC129,W4,52,4,9,10,10,12,15,16,17,17,18,21,18,20,23,25,28,30,34,37,37
,2019,Tottori,Jul,156,GmWMC156,W4,75,1,6,7,8,9,10,11,11,13,12,13,14,15,16,18,16,17,18,19,21
,2019,Tottori,Jul,156,GmWMC156,W4,75,2,6,6,7,9,10,13,11,13,14,15,14,16,17,18,14,15,17,18,17
,2019,Tottori,Jul,156,GmWMC156,W4,75,3,6,7,9,9,12,15,15,14,12,15,16,17,19,20,17,18,19,18,21
,2019,Tottori,Jul,156,GmWMC156,W4,75,4,7,7,8,9,10,11,12,12,13,14,13,14,15,14,15,16,20,20,21
,2019,Tottori,Jul,68,GmJMC068,W4,76,1,12,13,15,17,21,19,22,24,23,23,22,25,25,25,25,26,28,28,30
,2019,Tottori,Jul,68,GmJMC068,W4,76,2,11,15,15,17,19,19,18,26,28,25,26,28,30,26,26,28,28,29,32
,2019,Tottori,Jul,68,GmJMC068,W4,76,3,13,14,15,16,20,19,21,22,24,25,25,26,27,28,31,27,32,31,30
,2019,Tottori,Jul,68,GmJMC068,W4,76,4,13,15,16,18,21,21,21,21,22,27,29,26,26,26,33,28,35,31,33
,2019,Tottori,Jul,162,GmWMC162,W4,100,1,10,11,11,16,18,20,19,20,21,21,19,21,19,19,22,22,26,25,27
,2019,Tottori,Jul,162,GmWMC162,W4,100,2,9,10,12,13,18,19,21,20,21,19,19,23,23,23,22,24,28,32,31
,2019,Tottori,Jul,162,GmWMC162,W4,100,3,11,12,12,15,18,21,22,23,19,21,21,23,26,28,27,29,31,33,34
,2019,Tottori,Jul,162,GmWMC162,W4,100,4,10,12,13,15,19,20,23,23,25,26,23,30,32,26,31,32,35,36,38
,2019,Tottori,Jul,176,GmWMC176,W4,101,1,6,7,7,9,10,11,12,14,13,12,15,17,16,20,21,21,25,23,25
,2019,Tottori,Jul,176,GmWMC176,W4,101,2,7,7,6,9,9,8,12,12,11,14,13,17,20,19,22,23,27,29,32
,2019,Tottori,Jul,176,GmWMC176,W4,101,3,6,5,7,7,9,9,10,10,12,12,13,16,21,20,19,24,28,30,32
,2019,Tottori,Jul,176,GmWMC176,W4,101,4,7,6,6,5,8,8,11,11,11,13,13,16,18,18,22,23,28,31,30
,2019,Tottori,Jul,173,GmWMC173,W4,124,1,8,8,8,11,13,14,17,19,18,19,20,24,25,25,28,NA,31,32,35
,2019,Tottori,Jul,173,GmWMC173,W4,124,2,8,7,9,11,15,14,16,18,18,20,19,23,23,26,29,NA,31,33,33
,2019,Tottori,Jul,173,GmWMC173,W4,124,3,7,7,8,10,10,11,14,17,16,19,19,19,22,24,26,NA,30,33,32
,2019,Tottori,Jul,173,GmWMC173,W4,124,4,6,7,8,10,13,11,16,16,17,20,22,25,25,27,30,NA,34,36,33
,2019,Tottori,Jul,222,C1322,W4,126,1,13,11,12,12,15,14,18,19,19,21,21,23,24,25,27,26,29,27,25
,2019,Tottori,Jul,222,C1322,W4,126,2,12,10,12,14,16,13,17,17,20,17,18,20,18,18,19,19,23,19,20
,2019,Tottori,Jul,222,C1322,W4,126,3,11,11,11,15,16,14,16,19,19,20,20,21,25,24,29,27,26,23,24
,2019,Tottori,Jul,222,C1322,W4,126,4,11,12,12,13,16,16,18,20,17,18,18,21,26,25,24,20,22,19,19
,2019,Tottori,Jul,106,GmJMC106,W4,150,1,10,12,12,13,14,13,14,16,16,16,14,19,19,20,22,22,26,27,25
,2019,Tottori,Jul,106,GmJMC106,W4,150,2,10,10,9,13,13,13,13,14,16,19,14,17,18,19,18,19,20,21,19
,2019,Tottori,Jul,106,GmJMC106,W4,150,3,11,10,11,11,11,11,12,12,13,16,15,13,13,14,16,15,18,18,16
,2019,Tottori,Jul,106,GmJMC106,W4,150,4,9,11,10,12,12,10,13,15,14,15,15,16,18,17,21,20,22,22,21
